	log_likelihood
457	327.57578
458	298.7338
459	299.60272
460	276.0317
461	321.4513
462	325.2732
463	299.6607
464	297.23553
465	294.35013
466	312.8405
467	289.75705
468	211.21294
469	230.21048
470	274.16058
471	335.50082
472	310.49307
473	320.61026
474	298.4301
475	320.7147
476	270.64987
477	298.91776
478	342.66202
479	289.62766
480	316.18048
481	323.42612
482	315.59778
483	317.89737
484	307.20602
485	268.50348
486	324.88666
487	299.8703
488	310.75995
489	312.89618
490	322.98004
491	311.3803
492	277.02267
493	307.05255
494	305.23026
495	269.43646
496	242.21997
497	273.72076
498	256.6485
499	300.42023
500	281.23785
501	189.64363
502	263.1428
503	322.79825
504	318.17294
505	324.8023
506	317.05902
507	290.83572
508	227.07303
509	316.5993
510	312.21246
511	289.08585
512	295.57846
513	321.02408
514	321.32574
515	320.6584
516	265.3637
517	286.36105
518	322.8722
519	294.82483
520	327.00217
521	248.59969
522	295.78345
523	314.20453
524	314.86493
525	311.69858
526	300.0993
527	310.9062
528	278.0103
529	312.69348
530	312.69693
531	311.62943
532	304.88315
533	330.80072
534	282.69342
535	251.68648
536	232.58968
537	327.6999
538	215.9794
539	329.45602
540	316.33527
541	296.00055
542	318.65106
543	319.15668
544	210.31013
545	303.5633
546	222.76347
547	305.26666
548	192.59421
549	329.23956
550	328.3641
551	213.54512
552	294.66003
553	303.96613
554	271.88956
555	280.0305
556	283.4072
557	317.97284
558	314.56494
559	271.49622
560	243.61507
561	300.90625
562	228.70041
563	273.0584
564	321.90228
565	288.33057
566	323.51508
567	332.10083
568	334.2556
569	325.33627
570	189.87363
571	307.36972
572	324.16412
573	294.53427
574	291.43268
575	284.3482
576	316.7096
577	227.28677
578	294.19696
579	296.68668
580	274.3515
581	284.18863
582	269.94077
583	302.78772
584	324.55923
585	304.55457
586	295.30478
587	299.97665
588	286.08423
589	313.25046
590	294.87344
591	315.27582
592	316.8205
593	303.92596
594	294.06918
595	316.23312
596	271.72446
597	321.70746
598	305.7082
599	304.1883
600	322.23578
601	265.6313
602	279.00616
603	318.63333
604	301.8371
605	291.53436
606	316.65756
607	271.84412
608	291.04364
609	287.50024
610	306.66486
611	339.91455
612	314.35724
613	300.44708
614	201.63321
615	309.07776
616	328.0996
617	257.05652
618	268.077
619	308.5584
620	292.96207
621	305.80493
622	313.28683
623	276.28275
624	307.6142
625	287.58832
626	319.7558
627	307.59262
628	224.30644
629	327.32455
630	283.693
631	315.20483
632	284.8087
633	319.68512
634	322.80707
635	311.3504
636	198.80438
637	273.49933
638	302.23807
639	321.64056
640	291.3247
641	237.04184
642	216.98068
643	315.0797
644	326.87863
645	237.88733
646	301.14633
647	317.97662
648	324.93756
649	229.53203
650	322.80145
651	270.46317
652	336.91287
653	235.06477
654	320.401
655	218.67464
656	330.4564
657	244.07812
658	300.97058
659	322.95612
660	307.29297
661	318.47742
662	321.53177
663	285.4556
664	172.15808
665	308.86798
666	309.45502
667	309.32852
668	320.39252
669	274.41034
670	217.07674
671	309.97656
672	268.7233
673	294.19257
674	321.2801
675	283.7468
676	299.9738
677	291.96918
678	324.8891
679	315.7461
680	329.89777
681	287.2947
682	326.30878
683	216.72173
684	309.3584
685	301.76453
686	198.64877
687	314.23865
688	301.67926
689	283.32977
690	248.81705
691	255.09299
692	266.4499
693	273.70914
694	290.30185
695	259.03702
696	293.1555
697	286.14252
698	306.94748
699	308.62433
700	299.88022
701	286.18073
702	296.88132
703	289.56857
704	307.88947
705	329.9852
706	319.10855
707	284.261
708	297.7586
709	239.79158
710	308.69653
711	321.9306
712	298.86783
713	320.45734
714	337.82162
715	312.86603
716	290.7447
717	291.9371
718	319.16977
719	283.94147
720	328.52914
721	320.3539
722	316.84583
723	305.49002
724	272.16138
725	192.47623
726	238.7364
727	331.92725
728	272.86566
729	315.24954
730	324.3625
731	328.65927
732	234.75554
733	326.69446
734	327.4447
735	231.20346
736	256.39734
737	297.03558
738	279.82443
739	293.56665
740	323.40427
741	287.70157
742	270.69498
743	281.05283
744	299.22897
745	322.59314
746	293.7563
747	279.00308
748	325.605
749	342.32642
750	333.69882
751	309.26703
752	243.37447
753	334.69278
754	245.24979
755	314.29327
756	249.98064
757	311.6137
758	309.27448
759	298.3689
760	344.153
761	294.8802
762	308.23416
763	331.1702
764	276.84564
765	286.94067
766	295.56366
767	251.81734
768	219.06482
769	322.40704
770	294.67017
771	317.41895
772	250.75928
773	269.48462
774	293.31705
775	324.1684
776	314.21564
777	194.16986
778	293.20773
779	226.19182
780	304.8205
781	328.364
782	309.7102
783	318.11523
784	322.37015
785	254.6034
786	203.08897
787	275.87305
788	330.04205
789	271.35886
790	326.10208
791	294.37042
792	286.45337
793	291.00845
794	280.0381
795	285.74884
796	274.565
797	267.16284
798	287.85294
799	277.08994
800	318.3643
801	310.27963
802	308.45807
803	271.15018
804	293.30063
805	303.02548
806	280.91888
807	290.441
808	290.3121
809	306.27747
810	289.21698
811	308.93503
812	317.88998
813	164.01009
814	292.0048
815	321.071
816	317.3108
817	303.33124
818	276.80524
819	287.2822
820	187.2393
821	295.42657
822	317.97925
823	319.8587
824	295.8107
825	252.61743
826	287.53467
827	311.63898
828	283.43616
829	322.85422
830	203.05396
831	329.79315
832	220.59116
833	297.16254
834	319.22922
835	261.8057
836	265.61176
837	315.28403
838	249.09671
839	288.78168
840	320.82642
841	318.72885
842	161.35611
843	313.07016
844	328.742
845	241.85796
846	288.81104
847	308.22372
848	320.4503
849	308.0667
850	277.54074
851	314.22345
852	286.52124
853	308.0445
854	296.7403
855	313.2522
856	325.9264
857	308.9409
858	310.32397
859	288.69696
860	271.7423
861	255.23953
862	247.79709
863	296.2271
864	309.36224
865	309.3228
866	294.8066
867	305.95886
868	308.52042
869	288.12628
870	308.07022
871	241.51859
872	286.35168
873	262.56497
874	304.85004
875	302.24884
876	300.904
877	333.6983
878	267.79507
879	311.95328
880	281.26282
881	331.26678
882	332.50644
883	317.05673
884	275.54388
885	277.3109
886	248.45882
887	267.72177
888	306.24927
889	195.25385
890	285.62238
891	297.63193
892	270.65228
893	311.21967
894	283.10168
895	307.5042
896	285.48376
897	221.88696
898	305.22845
899	296.89648
900	284.7513
901	324.37958
902	259.65045
903	269.86438
904	236.75916
905	294.56686
906	202.83293
907	311.3388
908	325.34662
909	176.5282
910	291.27386
911	297.3377
912	303.461
913	301.24957
914	332.36005
915	314.07672
916	277.8011
917	258.7381
918	325.18756
919	286.2605
920	293.8961
921	276.95383
922	287.39377
923	259.4079
924	287.20505
925	321.61588
926	251.45023
927	55.99521
928	303.72284
929	285.80902
930	288.77832
931	231.27544
932	262.02814
933	286.15192
934	299.65463
935	310.2061
936	247.46248
937	317.94476
938	316.3207
939	319.47736
940	257.04126
941	321.87497
942	291.86066
943	232.6178
944	319.44702
945	326.26587
946	330.04474
947	266.43646
948	324.8803
949	257.25317
950	270.4673
951	317.92865
952	302.99994
953	197.12247
954	292.3225
955	302.62067
956	305.28775
957	158.42986
958	267.8358
959	297.29193
960	273.35654
961	257.59842
962	315.8269
963	338.79822
964	246.92538
965	298.26443
966	317.49207
967	287.8547
968	327.36063
969	304.71213
970	304.80478
971	258.88174
972	245.3881
973	298.11346
974	263.24377
975	316.65448
976	331.07135
977	282.80264
978	318.19183
979	280.99008
980	265.0457
981	268.6154
982	329.4931
983	196.39816
984	263.128
985	310.21274
986	310.34653
987	329.49963
988	287.51846
989	300.5805
990	292.44247
991	312.55298
992	293.02036
993	313.13446
994	305.17084
995	328.20233
996	298.60895
997	323.77832
998	242.55632
999	297.07776
1000	317.85275
1001	295.98083
1002	291.7953
1003	297.80536
1004	295.5733
1005	148.78406
1006	267.57245
1007	328.75333
1008	329.96234
1009	267.0497
1010	201.29634
1011	277.41733
1012	311.41766
1013	246.38542
1014	297.54233
1015	311.93842
1016	305.1032
1017	322.5716
1018	276.44406
1019	330.4416
1020	315.88922
1021	304.00397
1022	242.75504
1023	158.57567
1024	328.27805
1025	320.98788
1026	294.00006
1027	248.41147
1028	313.31866
1029	284.19443
1030	308.5984
1031	317.59454
1032	249.00623
1033	282.54288
1034	266.88782
1035	310.85565
1036	273.4684
1037	314.05054
1038	328.06445
1039	310.213
1040	296.79028
1041	191.97964
1042	22.064713
1043	249.38994
1044	234.41768
1045	302.29083
1046	226.53511
1047	311.71353
1048	297.2444
1049	313.2824
1050	177.6232
1051	320.67456
1052	318.268
1053	315.44757
1054	294.64713
1055	327.24103
1056	324.75214
1057	334.68774
1058	263.23944
1059	265.32367
1060	285.0827
1061	329.93945
1062	313.78702
1063	237.87558
1064	239.99353
1065	282.09528
1066	240.65279
1067	209.34256
1068	307.7453
1069	274.64395
1070	302.65933
1071	308.184
1072	312.10355
1073	332.007
1074	269.1764
1075	317.0354
1076	309.74805
1077	282.34402
1078	153.93265
1079	304.20483
1080	310.58197
1081	314.50385
1082	289.64267
1083	325.7126
1084	308.6104
1085	325.40753
1086	308.92117
1087	182.90544
1088	238.9974
1089	301.7282
1090	297.9525
1091	318.70297
1092	232.46744
1093	230.15909
1094	312.41507
1095	307.91565
1096	308.60196
1097	328.15952
1098	257.68152
1099	260.76074
1100	326.74213
1101	334.3976
1102	280.5141
1103	308.93253
1104	304.59256
1105	308.45294
1106	301.38168
1107	252.99081
1108	107.97233
1109	280.07135
1110	299.60828
1111	299.14178
1112	294.2423
1113	269.09875
1114	313.75748
1115	320.74933
1116	327.0051
1117	322.6838
1118	310.46402
1119	212.95422
1120	266.88388
1121	292.2519
1122	274.63922
1123	316.28632
1124	312.79926
1125	294.7464
1126	275.14816
1127	327.5947
1128	316.59875
1129	274.40704
1130	292.52872
1131	321.5099
1132	304.5689
1133	307.4688
1134	279.93857
1135	275.24628
1136	206.04538
1137	326.90936
1138	333.44418
1139	319.1611
1140	304.72
1141	315.33344
1142	327.61087
1143	260.28174
1144	310.9037
1145	237.76773
1146	258.4406
1147	150.34256
1148	318.3177
1149	220.08379
1150	276.38782
1151	243.09021
1152	218.2808
1153	299.77344
1154	310.29105
1155	178.74045
1156	292.38544
1157	295.82034
1158	309.9941
1159	231.51083
1160	292.8302
1161	284.54315
1162	293.16623
1163	298.09174
1164	298.27524
1165	268.5993
1166	292.77338
1167	287.99512
1168	271.8334
1169	281.0708
1170	253.70718
1171	310.84775
1172	336.2911
1173	324.52396
1174	279.64648
1175	307.52826
1176	331.1944
1177	321.74832
1178	279.75162
1179	316.26767
1180	256.2887
1181	325.20917
1182	293.65527
1183	292.58325
1184	249.17046
1185	323.26263
1186	234.33127
1187	306.7933
1188	243.53873
1189	322.9439
1190	330.34555
1191	291.29282
1192	220.51176
1193	191.65382
1194	274.75665
1195	230.83826
1196	305.32123
1197	286.7838
1198	314.81375
1199	309.83667
1200	327.84457
1201	250.30705
1202	257.33533
1203	274.12793
1204	294.97552
1205	224.58542
1206	238.98706
1207	321.81314
1208	324.2093
1209	321.42993
1210	162.35275
1211	321.32867
1212	176.30362
1213	186.79912
1214	149.6438
1215	219.82724
1216	233.55786
1217	299.90067
1218	307.37668
1219	311.28098
1220	285.0192
1221	305.25922
1222	222.81076
1223	252.66614
1224	306.06992
1225	326.7318
1226	317.843
1227	296.31897
1228	317.16037
1229	327.63028
1230	312.19965
1231	254.55542
1232	278.30963
1233	276.48218
1234	199.279
1235	265.47778
1236	288.3791
1237	325.7996
1238	191.20544
1239	295.21622
1240	284.91943
1241	290.50397
1242	246.56323
1243	315.6759
1244	301.85074
1245	307.6541
1246	291.93582
1247	226.20255
1248	308.37167
1249	216.65796
1250	327.9158
1251	174.67041
1252	263.30597
1253	307.26642
1254	243.38696
1255	315.92828
1256	231.55637
1257	298.024
1258	265.7655
1259	291.8829
1260	274.46542
1261	309.89096
1262	312.05853
1263	307.98773
1264	205.69925
1265	291.58392
1266	253.86983
1267	324.36426
1268	298.40524
1269	249.22588
1270	232.8357
1271	180.50444
1272	246.18498
1273	256.52155
1274	297.2868
1275	284.77512
1276	318.31622
1277	310.35104
1278	273.9737
1279	284.70502
1280	281.09222
1281	325.61877
1282	283.6258
1283	308.265
1284	292.42874
1285	193.4938
1286	288.0885
1287	240.88416
1288	274.36615
1289	229.67842
1290	294.8152
1291	309.32294
1292	230.58896
1293	290.02985
1294	309.6726
1295	282.18073
1296	296.9981
1297	218.10501
1298	300.5179
1299	309.44916
1300	268.85654
1301	234.6938
1302	278.07077
1303	323.10083
1304	311.94537
1305	313.37726
1306	261.9938
1307	300.0052
1308	299.68723
1309	311.31488
1310	306.01456
1311	313.06464
1312	273.9078
1313	264.86636
1314	259.26508
1315	270.89737
1316	202.59024
1317	286.92035
1318	269.98224
1319	309.75986
1320	311.60345
1321	272.8504
1322	312.63623
1323	287.773
1324	324.1836
1325	221.6027
1326	282.93518
1327	-33.360893
1328	211.48697
1329	304.09726
1330	280.64908
1331	307.79694
1332	278.2228
1333	313.6981
1334	305.10428
1335	294.6453
1336	233.59497
1337	310.10162
1338	259.9505
1339	332.23593
1340	254.25932
1341	306.06622
1342	302.14594
1343	289.68182
1344	320.25754
1345	229.04434
1346	271.52274
1347	310.6528
1348	277.14957
1349	324.43365
1350	309.90796
1351	276.1944
1352	311.18387
1353	301.7716
1354	317.363
1355	314.63895
1356	324.18832
1357	193.51503
1358	200.75613
1359	311.27203
1360	301.67157
1361	316.4149
1362	301.1585
1363	263.38605
1364	220.0538
1365	275.97964
1366	318.99945
1367	307.17706
1368	166.05177
1369	219.7085
1370	317.30545
1371	324.30716
1372	318.37128
1373	323.54474
1374	289.7254
1375	311.21887
1376	234.55594
1377	243.81772
1378	299.46307
1379	287.82187
1380	313.61102
1381	319.2914
1382	304.11948
1383	306.51562
1384	280.24542
1385	311.80835
1386	328.1754
1387	321.74142
1388	294.30435
1389	260.82733
1390	194.38818
1391	169.56828
1392	323.07547
1393	301.45123
1394	279.79654
1395	308.84033
1396	249.6578
1397	302.84253
1398	247.14351
1399	298.3103
1400	307.8204
1401	159.32478
1402	311.8194
1403	258.6607
1404	295.49942
1405	300.64566
1406	312.5206
1407	315.10745
1408	253.10042
1409	310.87006
1410	301.7067
1411	322.5329
1412	124.20872
1413	267.84183
1414	313.845
1415	312.65436
1416	304.68466
1417	257.37347
1418	269.87286
1419	316.1599
1420	210.82036
1421	244.02466
1422	324.86945
1423	300.7361
1424	285.52167
1425	288.08173
