1.500000000000000000e+04,8.414277285131629425e-01,9.344168206484358974e-01,9.516511638183439148e-01,9.560131566183606155e-01
1.000000000000000000e+04,8.414144346906956562e-01,9.344585147955719595e-01,9.515132088171378566e-01,9.560155663758538314e-01
5.000000000000000000e+03,8.423348084639534772e-01,9.359715568501253413e-01,9.469170221477244409e-01,9.563572382196837696e-01
2.500000000000000000e+03,8.421086731194519226e-01,9.379306710613546372e-01,9.320339158050876538e-01,9.561656694020923553e-01
2.000000000000000000e+03,8.407047356790742221e-01,9.383688599447362888e-01,9.234402562531449643e-01,9.549880977681795002e-01
1.500000000000000000e+03,8.375640948962542742e-01,9.386420817406292416e-01,9.079193696454842533e-01,9.532584181458808592e-01
1.250000000000000000e+03,8.346618909478301651e-01,9.385603918193640149e-01,8.938081466924494567e-01,9.512796721806544564e-01
1.000000000000000000e+03,8.307508345469682975e-01,9.381710435826046135e-01,8.729132385890375767e-01,9.469998650311112209e-01
9.000000000000000000e+02,8.289648542596596004e-01,9.378532904722114427e-01,8.625304824176690532e-01,9.444264103360017204e-01
8.000000000000000000e+02,8.265961021665219066e-01,9.374930427194473337e-01,8.487845320995085485e-01,9.412897625385627798e-01
7.000000000000000000e+02,8.235284569729269810e-01,9.367211419691362506e-01,8.318351147388161060e-01,9.368633861154804787e-01
6.000000000000000000e+02,8.195256565917052871e-01,9.358863701744271069e-01,8.089929889727126566e-01,9.296482605713791703e-01
5.000000000000000000e+02,8.136655479429454330e-01,9.345217203031160880e-01,7.771211050639772466e-01,9.156997146453185188e-01
4.500000000000000000e+02,8.104667241723669813e-01,9.339818133902695330e-01,7.553839450624371121e-01,9.071682854591007761e-01
4.000000000000000000e+02,8.064843810462577478e-01,9.333379760736174591e-01,7.258109024137218146e-01,8.964821359284819158e-01
3.500000000000000000e+02,8.019865504781509280e-01,9.329639346728364480e-01,6.888618163825722673e-01,8.839512275160347210e-01
3.000000000000000000e+02,7.956858126388915986e-01,9.323750355195039585e-01,6.383638351505590558e-01,8.685141233139096473e-01
2.500000000000000000e+02,7.869391552408124824e-01,9.307536254089214811e-01,5.689963548540238891e-01,8.451895849662435234e-01
2.000000000000000000e+02,7.738181704149326157e-01,9.268938268494723021e-01,4.801612267820690727e-01,8.119850593876996037e-01
1.500000000000000000e+02,7.505681718948142844e-01,9.201642367690143764e-01,3.759505390367025579e-01,7.514564237057526075e-01
1.000000000000000000e+02,7.061976785427217518e-01,9.037493312325192152e-01,2.704370126307038547e-01,6.255045100936290625e-01
5.000000000000000000e+01,5.466563304500717813e-01,8.346084288395154704e-01,1.629368894007013069e-01,4.114802632836461749e-01
