	log_likelihood
456	27.038599
457	25.051386
458	18.832483
459	26.990936
460	22.702988
461	20.5782
462	23.948395
463	23.301931
464	10.51428
465	20.265
466	26.034576
467	26.517654
468	23.092785
469	22.758743
470	22.648548
471	24.819996
472	22.31041
473	23.12846
474	18.139648
475	21.612461
476	27.511713
477	27.430182
478	24.242262
479	14.044019
480	10.851795
481	26.70321
482	21.446589
483	26.93185
484	21.3916
485	23.24169
486	10.147646
487	26.071054
488	25.05783
489	23.364096
490	18.788881
491	23.28411
492	11.756147
493	26.38848
494	5.403015
495	22.528685
496	25.463476
497	21.971043
498	24.074453
499	26.126577
500	16.786808
501	22.62084
502	23.678402
503	27.112015
504	15.611849
505	23.02821
506	18.8667
507	21.964249
508	23.462482
509	25.991955
510	20.398695
511	15.907382
512	20.699102
513	26.991827
514	24.445307
515	26.223648
516	16.517216
517	14.03877
518	17.559694
519	23.219997
520	25.66358
521	23.645224
522	26.99137
523	20.082493
524	21.483845
525	25.706171
526	14.215518
527	25.434477
528	23.180752
529	24.352459
530	25.731472
531	22.107422
532	18.596249
533	21.642017
534	17.184223
535	24.705997
536	22.181416
537	24.439972
538	25.40188
539	26.87327
540	17.422876
541	24.60227
542	24.157717
543	25.60751
544	26.146936
545	22.972876
546	22.49831
547	5.869691
548	17.694958
549	24.533842
550	20.069294
551	27.608105
552	22.556368
553	26.930237
554	25.12266
555	26.155573
556	15.8496475
557	24.725658
558	20.392832
559	25.833206
560	21.040773
561	23.582987
562	24.754295
563	27.183252
564	16.8134
565	24.33112
566	25.55907
567	13.592329
568	24.619045
569	17.916521
570	16.17678
571	18.416855
572	24.34786
573	27.485275
574	27.701328
575	17.55224
576	26.606623
577	19.902903
578	24.697632
579	26.869968
580	21.986149
581	20.979225
582	20.460796
583	10.053759
584	27.848469
585	28.123138
586	15.52861
587	21.604671
588	18.952318
589	19.742413
590	6.942646
591	24.908503
592	23.869904
593	25.97572
594	16.130337
595	25.038992
596	19.546589
597	21.802216
598	26.976711
599	27.624344
600	15.102585
601	25.791336
602	15.948606
603	23.403858
604	25.208954
605	23.990448
606	26.608887
607	25.884146
608	26.94374
609	23.853506
610	24.882748
611	23.240479
612	23.808533
613	19.753487
614	24.677685
615	23.435104
616	24.267506
617	23.897768
618	18.337227
619	25.053307
620	24.075926
621	21.858559
622	24.86124
623	13.43336
624	13.060168
625	19.68166
626	27.192713
627	17.883835
628	17.94507
629	12.42809
630	25.932983
631	25.814215
632	15.549298
633	25.162653
634	18.773228
635	22.160707
636	25.60374
637	23.74329
638	24.521082
639	25.313694
640	25.957672
641	24.16923
642	20.13901
643	24.749897
644	5.2420206
645	25.303911
646	25.553041
647	26.23963
648	17.009384
649	27.240417
650	25.868551
651	25.082882
652	24.815027
653	26.122019
654	21.483013
655	25.180866
656	14.439621
657	27.333858
658	26.393223
659	23.399628
660	25.163296
661	14.328787
662	20.223934
663	18.575243
664	16.44647
665	23.73745
666	23.204245
667	15.162718
668	25.478207
669	26.614544
670	27.35906
671	22.858374
672	20.078262
673	26.508692
674	27.09488
675	23.41305
676	27.71962
677	26.729166
678	25.830404
679	14.198794
680	23.26147
681	19.191574
682	23.007835
683	24.944513
684	25.33967
685	22.825403
686	17.616545
687	25.033466
688	21.660906
689	26.88052
690	20.743769
691	22.426266
692	23.965609
693	21.900127
694	10.45601
695	27.67719
696	21.388556
697	23.17113
698	22.499437
699	21.185234
700	26.87292
701	16.168375
702	20.197735
703	18.06538
704	20.37241
705	18.837612
706	25.673798
707	24.125772
708	10.7414055
709	17.879955
710	28.166
711	25.184528
712	25.47732
713	18.278202
714	24.668774
715	25.693249
716	26.135357
717	17.654724
718	27.211376
719	27.330502
