	log_likelihood
416	3.1371112
417	4.228226
418	3.7100158
419	3.6825454
420	3.7124321
421	3.8886585
422	2.3044212
423	4.199107
424	3.9147332
425	3.2755237
426	2.8163521
427	4.3587914
428	3.5177796
429	3.7530236
430	4.408541
431	4.203676
432	3.4808278
433	3.3054957
434	4.2480564
435	2.2927005
436	3.0624042
437	4.6345353
438	4.1282763
439	3.053453
440	4.300412
441	4.2101927
442	4.6462426
443	3.7643495
444	2.0535398
445	3.5625572
446	3.2362628
447	3.2187054
448	4.354426
449	3.8665357
450	3.836914
451	4.459071
452	4.973716
453	2.4541593
454	1.692186
455	4.1920066
456	4.302805
457	4.159501
458	3.7275596
459	4.178823
460	3.5032756
461	3.6232002
462	4.1307054
463	3.5680954
464	2.4402013
465	3.084203
466	4.4397306
467	4.1934867
468	4.079522
469	3.525004
470	4.1410637
471	3.7407773
472	3.2294388
473	3.44888
474	2.690677
475	3.1750398
476	4.519409
477	4.4277
478	3.8058777
479	2.351128
480	2.0877924
481	4.409663
482	4.128242
483	4.2531977
484	3.5530925
485	4.2378106
486	1.5504293
487	4.3419952
488	3.6738133
489	3.7886481
490	2.6496367
491	4.4521255
492	1.856684
493	4.584198
494	1.0481129
495	4.286374
496	4.1855326
497	3.9403484
498	3.6189694
499	4.55673
500	2.8096004
501	3.2086868
502	3.3094192
503	4.0300283
504	2.3145032
505	4.0241227
506	2.7583377
507	3.0855374
508	3.6487205
509	3.8035495
510	3.054917
511	2.3736331
512	3.557534
513	4.4643025
514	4.014841
515	4.0829573
516	3.1435938
517	2.1515193
518	3.4129949
519	2.9952333
520	3.9086328
521	3.7026772
522	4.4864182
523	2.8222651
524	3.4555557
525	4.165657
526	2.39111
527	3.9253967
528	4.073695
529	3.6812172
530	4.5416613
531	3.2225647
532	2.7230883
533	4.394271
534	2.9354756
535	3.5458603
536	3.2692304
537	3.5737946
538	4.259225
539	4.2218657
540	3.0512755
541	3.8821652
542	3.5448563
543	3.7738972
544	4.0328355
545	4.120964
546	3.117583
547	0.7387648
548	3.529895
549	3.6782234
550	3.1598086
551	4.466673
552	3.263663
553	4.398035
554	4.354514
555	4.1407228
556	2.3735247
557	4.0581217
558	2.9431107
559	4.2768936
560	3.2756104
561	3.8210723
562	3.9291458
563	4.2018337
564	2.4056835
565	4.149203
566	3.8658218
567	2.6775043
568	4.2072515
569	4.197049
570	3.047814
571	2.9815779
572	4.012042
573	4.385814
574	4.3515115
575	3.416608
576	4.314925
577	4.157151
578	3.7603164
579	4.210151
580	4.057123
581	3.0308776
582	3.872952
583	1.5719818
584	4.668899
585	4.55116
586	3.1473927
587	4.238688
588	3.8211586
589	3.322781
590	1.0908364
591	3.9171283
592	4.354374
593	4.1011996
