	log_likelihood
455	23.025082
456	26.88652
457	30.103739
458	26.66949
459	30.210596
460	30.116749
461	29.0728
462	30.205658
463	21.843334
464	22.696804
465	25.549555
466	20.835295
467	23.308554
468	29.675552
469	29.099146
470	31.592972
471	26.91724
472	26.386044
473	26.384619
474	30.917034
475	28.0814
476	31.951015
477	28.424988
478	29.854132
479	27.836044
480	25.918951
481	20.550991
482	21.94544
483	26.115005
484	30.288157
485	28.228775
486	19.494738
487	13.291715
488	9.032155
489	19.61139
490	16.705997
491	27.031048
492	22.71228
493	10.258885
494	24.32347
495	29.489124
496	30.069332
497	29.054272
498	30.615818
499	18.474213
500	20.665787
501	16.923462
502	18.452179
503	20.133448
504	23.732773
505	22.396889
506	22.71941
507	20.507732
508	12.025236
509	19.062672
510	12.741086
511	21.60289
512	24.112644
513	22.243969
514	19.053408
515	24.311539
516	27.74795
517	25.937485
518	27.139263
519	5.6127863
520	28.304102
521	27.819122
522	28.830952
523	17.975323
524	25.142254
525	24.08688
526	21.695065
527	25.025314
528	29.05778
529	27.907215
530	25.74532
531	27.811901
532	28.813349
533	27.5733
534	27.024897
535	29.509155
536	28.226007
537	21.892323
538	17.114944
539	25.744808
540	29.453922
541	26.52273
542	26.034374
543	15.010602
544	15.4017315
545	23.00716
546	19.459377
547	21.906078
548	25.447306
549	23.586845
550	20.585682
551	27.26858
552	25.004093
553	27.50376
554	27.076664
555	27.978872
556	21.585163
557	24.653193
558	27.666637
559	28.061417
560	23.424036
561	25.079185
562	26.685287
563	24.41982
564	20.1722
565	24.395462
566	20.599495
567	25.408302
568	26.69032
569	25.911901
570	25.630505
571	18.458342
572	21.067886
573	20.92906
574	20.250912
575	27.973135
576	26.18801
577	27.350962
578	22.614302
579	21.355093
580	18.675955
581	22.50598
582	20.655811
583	27.05605
584	24.352442
585	25.457584
586	21.86655
587	21.058392
588	19.182673
589	19.251814
590	21.917616
591	27.622696
592	24.882446
